event_name,methodName,dataInterface,unprocessed_count,Actionable FP,Actionable Vapi,status
anthropic-bedrock-modelling-claude-3-5-sonnet-20241022,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,11117,change modelling to modeling and reprocess,,
anthropic-vertex-modelling-claude-3-5-sonnet-20241022,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,10911,change modelling to modeling and reprocess,,
minimax-synthesizer,synthesizer,MODEL_USAGE_DATA_TYPE,9986,,,
anthropic-modeling-claude-sonnet-4-20250514,modeling,MODEL_USAGE_DATA_TYPE,6885,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-modelling-claude-opus-4-20250514,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,6454,change modelling to modeling and reprocess,,
11labs-synthesizer,synthesizer,MODEL_USAGE_DATA_TYPE,5868,,,
azure-transcriber,transcriber,DURATION_DATA,2615,,,
azure-synthesizer,synthesizer,MODEL_USAGE_DATA_TYPE,2548,,,
vapi-vapi-call-service,vapi-call-service,DURATION_DATA,2189,,,
cartesia-synthesizer-sonic-english,synthesizer,MODEL_USAGE_DATA_TYPE,1810,,,
cerebras-modeling,modeling,MODEL_USAGE_DATA_TYPE,1804,Create llm type feature with 0 price and reprocess,Need pricing,
openai-synthesizer,synthesizer,MODEL_USAGE_DATA_TYPE,1624,,,
anthropic-modelling-claude-3-opus-20240229,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,1022,change modelling to modeling and reprocess,,
anthropic-bedrock-modelling-claude-sonnet-4-5-20250929,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,880,change modelling to modeling and reprocess,,
speechmatics-transcriber-es,transcriber,DURATION_DATA,752,,,
anthropic-modeling-claude-sonnet-4-5-20250929,modeling,MODEL_USAGE_DATA_TYPE,660,Create llm type feature with 0 price and reprocess,Need pricing,
deep-seek-modeling,modeling,MODEL_USAGE_DATA_TYPE,628,Create llm type feature with 0 price and reprocess,Need pricing,
anthropic-bedrock-modelling-claude-opus-4-5-20251101,BEDROCK_LLM,MODEL_USAGE_DATA_TYPE,607,change modelling to modeling and reprocess,,
